months_as_customer,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_location,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
419,500/1000,2000,736.07,6000000,MALE,College,transport-moving,unmarried,45700,0,2/4/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,6738 Francis Hwy,4,?,0,0,YES,62280,5190,10380,46710,N
315,250/500,1000,974.16,6000000,FEMALE,Masters,sales,other-relative,0,-56800,2/7/2015,Multi-vehicle Collision,Front Collision,Total Loss,Other,7576 Pine Ridge,3,?,1,0,YES,26730,4860,4860,17010,N
72,500/1000,500,973.8,0,FEMALE,Associate,craft-repair,own-child,0,-85900,1/16/2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,9105 Tree Lane,1,?,1,0,NO,66200,6620,6620,52960,N
32,100/300,2000,1260.32,6000000,MALE,JD,other-service,not-in-family,0,-79800,2/28/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,2299 Britain Drive,1,?,1,2,?,45500,9100,4550,31850,N
230,100/300,1000,1464.03,0,MALE,JD,transport-moving,own-child,0,0,2/8/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,1914 Francis St,3,?,2,0,?,53040,4420,4420,44200,N
157,100/300,2000,617.11,0,MALE,College,other-service,other-relative,0,-54100,1/2/2015,Multi-vehicle Collision,Front Collision,Major Damage,Other,6658 Weaver St,3,?,1,2,NO,50800,10160,5080,35560,Y
265,250/500,2000,1724.46,6000000,FEMALE,Associate,craft-repair,own-child,81800,0,1/13/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,1985 5th Ave,3,?,1,3,?,44200,4420,4420,35360,N
47,500/1000,500,1161.31,0,FEMALE,PhD,exec-managerial,other-relative,64800,-24300,1/7/2015,Single Vehicle Collision,Front Collision,Minor Damage,Police,1707 Sky Ave,1,YES,1,3,?,62920,11440,5720,45760,N
113,250/500,2000,1091.73,0,MALE,PhD,exec-managerial,not-in-family,36100,-42300,1/5/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,6456 Andromedia Drive,3,?,0,2,YES,49950,5550,5550,38850,Y
289,250/500,2000,1209.07,0,MALE,JD,armed-forces,unmarried,0,0,2/28/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,5649 Texas Ave,1,YES,0,1,YES,56430,6270,6270,43890,Y
254,250/500,2000,1241.04,0,FEMALE,Masters,protective-serv,own-child,0,0,1/4/2015,Single Vehicle Collision,Front Collision,Minor Damage,Police,1220 MLK Ave,1,NO,2,2,YES,100210,18220,18220,63770,N
115,500/1000,500,1757.21,0,MALE,High School,prof-specialty,wife,46400,0,2/2/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,1589 Pine St,3,NO,1,0,YES,49140,5460,5460,38220,N
236,250/500,1000,802.24,0,FEMALE,College,other-service,not-in-family,0,-62500,2/23/2015,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,8906 Elm Lane,1,NO,0,1,?,66840,16710,5570,44560,N
7,500/1000,1000,1342.72,0,MALE,Associate,machine-op-inspct,wife,0,-45300,2/10/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,2654 Elm Drive,1,?,1,2,?,62460,6940,6940,48580,N
208,100/300,2000,1209.41,5000000,MALE,JD,machine-op-inspct,wife,0,0,2/16/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,6681 Texas Ridge,3,YES,0,1,?,62810,11420,11420,39970,N
126,500/1000,1000,1141.71,2000000,FEMALE,JD,priv-house-serv,own-child,36700,-73400,1/4/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,7782 Rock St,1,YES,1,2,?,54160,6770,6770,40620,N
48,100/300,500,1090.03,0,FEMALE,JD,exec-managerial,unmarried,0,-51000,1/30/2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,9286 Oak Ave,1,YES,0,2,NO,48400,9680,4840,33880,N
297,250/500,1000,1464.73,3000000,MALE,PhD,exec-managerial,other-relative,54900,-36700,1/25/2015,Multi-vehicle Collision,Side Collision,Total Loss,Fire,8758 5th St,3,?,0,0,NO,51480,5720,5720,40040,N
160,100/300,1000,1118.58,0,FEMALE,High School,prof-specialty,husband,0,-36600,1/22/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,7281 Maple Hwy,3,NO,2,1,NO,51700,5170,10340,36190,N
406,250/500,2000,1117.04,0,MALE,MD,exec-managerial,own-child,0,-42700,1/1/2015,Multi-vehicle Collision,Front Collision,Total Loss,Other,7571 Elm Ridge,3,?,1,2,?,65520,10920,5460,49140,N
157,500/1000,500,1257.83,7000000,MALE,High School,farming-fishing,own-child,40700,-41600,2/14/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,6738 Washington Hwy,4,NO,2,2,NO,47700,4770,9540,33390,Y
146,250/500,2000,1082.72,0,FEMALE,PhD,machine-op-inspct,not-in-family,61400,-57500,1/15/2015,Vehicle Theft,?,Minor Damage,None,4188 Britain Ave,1,YES,2,0,NO,5220,580,580,4060,N
409,100/300,1000,1191.8,6000000,MALE,High School,protective-serv,unmarried,55600,0,1/6/2015,Single Vehicle Collision,Side Collision,Major Damage,Other,6934 Lincoln Ave,1,NO,1,0,?,73320,6110,12220,54990,N
252,100/300,1000,1242.02,0,MALE,Masters,adm-clerical,wife,0,-28800,2/8/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,6390 Apache St,1,YES,0,2,YES,74900,14980,7490,52430,N
6,250/500,500,1075.71,0,FEMALE,High School,prof-specialty,unmarried,0,-47400,2/17/2015,Vehicle Theft,?,Trivial Damage,Police,7615 Weaver Drive,1,?,0,1,YES,3190,580,290,2320,N
103,100/300,1000,969.88,6000000,MALE,MD,armed-forces,own-child,0,0,1/21/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,6409 Cherokee Drive,1,NO,1,0,YES,76920,12820,6410,57690,N
369,250/500,2000,1459.93,0,FEMALE,Masters,priv-house-serv,not-in-family,0,0,2/9/2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,1123 5th Lane,2,YES,1,3,NO,77990,7090,14180,56720,N
261,500/1000,1000,1245.61,0,MALE,MD,transport-moving,own-child,0,0,2/12/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,5168 5th Ave,1,YES,1,0,?,59670,9180,9180,41310,N
159,100/300,2000,1462.76,0,FEMALE,College,craft-repair,husband,69200,-36900,2/24/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,3697 Apache Drive,3,YES,2,0,NO,44880,8160,4080,32640,Y
344,100/300,2000,1398.46,0,MALE,Associate,sales,other-relative,0,0,2/2/2015,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,1910 Sky Ave,1,?,0,2,NO,82830,7530,15060,60240,N
437,500/1000,1000,1269.64,0,FEMALE,College,armed-forces,unmarried,48800,0,2/14/2015,Single Vehicle Collision,Front Collision,Minor Damage,Other,8954 Apache Lane,1,NO,1,3,NO,84480,7680,15360,61440,Y
65,100/300,500,1455.65,4000000,FEMALE,College,transport-moving,wife,0,-66300,2/15/2015,Multi-vehicle Collision,Side Collision,Total Loss,Fire,3110 Lincoln Lane,3,?,2,3,NO,79800,15960,7980,55860,N
280,500/1000,2000,1140.31,0,MALE,MD,adm-clerical,husband,29300,-64700,2/28/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,6035 Rock Ave,3,?,0,3,YES,53020,9640,9640,33740,N
269,500/1000,500,1330.46,0,FEMALE,High School,machine-op-inspct,wife,54800,-64100,1/18/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,2220 1st Lane,3,?,0,0,NO,24200,2200,4400,17600,N
275,250/500,2000,1190.6,0,MALE,Masters,exec-managerial,unmarried,0,-45300,1/6/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,4972 Francis Lane,1,?,1,3,YES,43230,7860,7860,27510,N
265,250/500,500,972.5,0,FEMALE,College,exec-managerial,unmarried,0,0,1/19/2015,Vehicle Theft,?,Trivial Damage,None,6957 Weaver Drive,1,NO,2,3,NO,3190,290,580,2320,N
283,100/300,2000,1161.91,0,FEMALE,Associate,adm-clerical,not-in-family,0,-50400,1/17/2015,Parked Car,?,Minor Damage,None,1512 Rock Lane,1,?,0,3,NO,5850,1300,650,3900,N
84,250/500,1000,1117.17,0,FEMALE,High School,machine-op-inspct,not-in-family,0,-29900,2/12/2015,Parked Car,?,Trivial Damage,Police,3693 Pine Ave,1,YES,2,0,YES,6820,620,1240,4960,N
247,250/500,2000,1101.51,0,FEMALE,College,farming-fishing,not-in-family,64000,0,2/11/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,9879 Apache Drive,3,NO,2,2,NO,69480,11580,11580,46320,N
56,100/300,1000,1523.17,0,MALE,Masters,prof-specialty,own-child,0,0,2/21/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2494 Andromedia Drive,3,?,1,2,YES,94560,7880,15760,70920,N
210,500/1000,1000,984.45,0,MALE,Associate,armed-forces,unmarried,0,0,1/2/2015,Vehicle Theft,?,Minor Damage,None,4615 Embaracadero Ave,1,YES,1,2,?,7800,780,780,6240,N
108,500/1000,2000,1257,4000000,FEMALE,High School,machine-op-inspct,unmarried,63900,-43700,1/11/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,1929 Britain Drive,1,NO,1,3,NO,61270,5570,11140,44560,N
328,500/1000,500,1434.51,0,FEMALE,Masters,transport-moving,wife,0,0,2/23/2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,5051 Elm St,1,?,0,2,YES,71440,8930,8930,53580,N
186,250/500,2000,1628,0,FEMALE,JD,priv-house-serv,unmarried,0,0,1/28/2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9910 Maple Ave,1,YES,1,2,YES,55600,11120,5560,38920,N
277,500/1000,500,1412.31,0,MALE,High School,priv-house-serv,unmarried,0,0,2/1/2015,Vehicle Theft,?,Trivial Damage,Police,5602 Britain St,1,NO,1,3,NO,5000,1000,500,3500,N
138,250/500,500,1362.87,5000000,FEMALE,JD,exec-managerial,own-child,56900,-56900,2/24/2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,6889 Cherokee St,1,NO,2,0,?,95810,14740,14740,66330,N
208,100/300,1000,1134.68,0,FEMALE,College,tech-support,husband,0,0,1/20/2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,3926 Rock Lane,1,NO,2,2,?,69300,6930,13860,48510,N
147,250/500,1000,1306.78,0,MALE,MD,prof-specialty,other-relative,0,0,1/14/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,6717 Best Drive,1,?,1,0,NO,81120,13520,20280,47320,N
8,500/1000,500,1021.9,0,MALE,High School,handlers-cleaners,husband,0,0,2/5/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,6117 4th Ave,1,?,0,0,?,91260,14040,14040,63180,N
297,100/300,1000,1538.6,0,FEMALE,MD,other-service,wife,0,-54700,1/11/2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,2668 Cherokee St,1,?,0,0,?,60600,6060,12120,42420,N
150,500/1000,1000,1354.5,0,MALE,Masters,machine-op-inspct,husband,52800,0,1/2/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,6838 Flute Lane,3,?,0,3,YES,64800,6480,12960,45360,Y
4,500/1000,500,1282.93,0,FEMALE,College,exec-managerial,other-relative,0,0,2/12/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,6583 MLK Ridge,4,?,0,0,?,66880,6080,12160,48640,Y
210,500/1000,1000,1346.27,0,MALE,Masters,farming-fishing,not-in-family,44900,-91400,1/3/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,6492 4th Lane,1,NO,0,2,?,58200,5820,5820,46560,N
91,100/300,1000,1338.4,4000000,FEMALE,High School,priv-house-serv,own-child,63600,0,2/25/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,7299 Apache St,1,?,1,0,NO,60570,6730,6730,47110,N
167,100/300,1000,949.44,0,FEMALE,Masters,exec-managerial,other-relative,0,-38400,1/19/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,2756 Britain Hwy,3,?,0,0,NO,69680,8710,8710,52260,Y
467,500/1000,2000,977.4,0,MALE,Masters,transport-moving,own-child,82200,0,1/3/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,9360 3rd Drive,1,YES,2,3,NO,55700,5570,11140,38990,N
264,250/500,2000,1181.46,10000000,FEMALE,JD,transport-moving,other-relative,0,-67400,2/12/2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,1655 Francis Hwy,4,YES,1,2,YES,62370,5670,5670,51030,N
270,500/1000,500,1187.53,0,FEMALE,PhD,priv-house-serv,not-in-family,83200,-53300,2/24/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,9720 Lincoln Hwy,3,?,0,0,YES,54340,9880,0,44460,N
310,100/300,1000,845.16,0,FEMALE,Masters,priv-house-serv,other-relative,0,0,2/25/2015,Single Vehicle Collision,Front Collision,Major Damage,Police,7066 Texas Ave,1,YES,1,0,NO,55170,6130,6130,42910,Y
143,100/300,500,1442.27,0,MALE,College,priv-house-serv,wife,67900,0,2/17/2015,Single Vehicle Collision,Front Collision,Minor Damage,Other,9728 Britain Hwy,1,?,2,3,YES,58500,11700,5850,40950,N
146,100/300,2000,1276.43,0,MALE,Associate,priv-house-serv,own-child,0,0,2/9/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,4486 Cherokee Ridge,1,?,0,3,?,59940,6660,6660,46620,N
102,250/500,500,1075.41,0,MALE,MD,machine-op-inspct,wife,55200,0,2/15/2015,Single Vehicle Collision,Side Collision,Total Loss,Police,8021 Flute Ave,1,NO,1,0,NO,73400,7340,7340,58720,N
61,100/300,500,1111.72,0,MALE,JD,exec-managerial,other-relative,54600,0,2/25/2015,Single Vehicle Collision,Side Collision,Major Damage,Fire,2774 Apache Drive,1,?,1,2,?,41850,4650,4650,32550,N
255,500/1000,2000,814.96,6000000,FEMALE,PhD,priv-house-serv,not-in-family,68500,0,2/5/2015,Parked Car,?,Trivial Damage,Police,2787 MLK St,1,?,2,2,NO,6400,640,1280,4480,Y
211,500/1000,1000,1575.86,0,FEMALE,PhD,other-service,own-child,0,0,1/12/2015,Vehicle Theft,?,Trivial Damage,Police,9847 Elm St,1,NO,1,1,NO,3190,580,290,2320,N
61,250/500,1000,1115.27,0,MALE,JD,handlers-cleaners,unmarried,0,-66000,1/1/2015,Parked Car,?,Trivial Damage,None,4629 Elm Ridge,1,YES,2,1,YES,5900,590,590,4720,N
108,500/1000,2000,1175.7,0,MALE,Masters,protective-serv,not-in-family,0,0,2/19/2015,Single Vehicle Collision,Rear Collision,Total Loss,Fire,5585 Washington Drive,1,NO,0,2,NO,57330,6370,6370,44590,N
303,100/300,500,793.15,0,MALE,MD,tech-support,own-child,54600,-45500,1/14/2015,Multi-vehicle Collision,Front Collision,Total Loss,Other,3925 Sky St,3,NO,0,3,NO,81960,13660,13660,54640,N
152,250/500,500,942.51,0,FEMALE,PhD,transport-moving,wife,0,0,1/30/2015,Single Vehicle Collision,Side Collision,Major Damage,Fire,3903 Oak Ave,1,YES,0,0,?,70400,6400,19200,44800,Y
120,500/1000,1000,1056.71,0,FEMALE,JD,protective-serv,not-in-family,77900,0,1/20/2015,Parked Car,?,Minor Damage,None,3805 Lincoln Hwy,1,NO,2,1,?,3770,580,580,2610,N
144,500/1000,2000,1255.68,6000000,FEMALE,Associate,sales,other-relative,23600,-15600,2/18/2015,Parked Car,?,Minor Damage,None,4055 2nd Drive,1,NO,0,0,?,7400,740,1480,5180,N
414,500/1000,500,1335.13,0,FEMALE,High School,farming-fishing,unmarried,44000,-71000,1/7/2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,3707 Oak Ridge,1,YES,1,1,?,54810,6090,6090,42630,Y
163,250/500,500,1178.95,6000000,FEMALE,JD,priv-house-serv,own-child,0,-67300,1/16/2015,Single Vehicle Collision,Rear Collision,Total Loss,Fire,7327 Lincoln Drive,1,YES,2,3,YES,49400,4940,9880,34580,N
352,250/500,500,1793.16,0,MALE,Associate,tech-support,wife,0,0,1/15/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,9369 Flute Hwy,1,YES,2,2,NO,68750,12500,6250,50000,N
27,100/300,500,1008.38,0,FEMALE,PhD,adm-clerical,other-relative,37900,0,2/1/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4239 Weaver Ave,1,NO,1,0,?,61500,12300,6150,43050,N
239,100/300,500,1396.83,0,FEMALE,Masters,other-service,husband,0,0,1/6/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,6044 Weaver Drive,4,?,0,3,NO,76890,6990,13980,55920,N
33,100/300,500,1402.78,5000000,FEMALE,PhD,other-service,husband,70300,-50300,2/2/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,8879 1st Drive,1,YES,0,1,?,56070,6230,12460,37380,N
88,100/300,1000,1437.88,0,FEMALE,College,transport-moving,husband,42800,-51200,2/25/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,9488 Best Drive,1,NO,2,0,YES,56000,14000,0,42000,N
101,500/1000,1000,1313.64,0,FEMALE,College,priv-house-serv,unmarried,12100,0,2/10/2015,Parked Car,?,Trivial Damage,None,7500 Texas Ridge,1,YES,1,0,NO,4290,780,390,3120,N
20,250/500,500,1482.14,0,FEMALE,Associate,transport-moving,husband,33000,-43600,2/22/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,2048 3rd Ridge,3,?,2,1,NO,60750,6750,6750,47250,N
126,250/500,2000,1171.75,0,FEMALE,Associate,machine-op-inspct,not-in-family,46500,-42700,1/31/2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,3419 Apache St,1,?,2,3,NO,48730,4430,4430,39870,N
264,500/1000,2000,1353.33,0,MALE,Associate,adm-clerical,not-in-family,0,-8500,2/12/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,9875 MLK Ave,3,YES,2,0,NO,95150,17300,17300,60550,N
78,100/300,500,1175.51,0,MALE,Masters,craft-repair,husband,0,0,1/6/2015,Vehicle Theft,?,Minor Damage,Police,3553 Texas Ave,1,?,0,1,YES,7480,680,680,6120,N
123,100/300,2000,1836.02,0,MALE,Masters,transport-moving,own-child,38000,-41200,1/1/2015,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,4335 1st St,1,?,2,1,YES,79800,13300,6650,59850,Y
347,500/1000,500,1480.79,9000000,FEMALE,MD,priv-house-serv,unmarried,0,-12100,1/7/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,9070 Tree Ave,1,YES,0,2,?,103560,8630,17260,77670,N
163,500/1000,2000,1453.92,0,FEMALE,PhD,other-service,other-relative,51700,0,2/21/2015,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,3900 Texas St,1,YES,2,3,?,79500,15900,7950,55650,N
271,250/500,500,1340.71,0,FEMALE,High School,tech-support,other-relative,0,0,2/14/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,9657 5th Ave,1,NO,2,2,NO,76230,6930,13860,55440,Y
410,100/300,2000,714.03,0,MALE,MD,protective-serv,own-child,0,-17000,2/16/2015,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,5765 Washington St,1,YES,0,2,NO,59520,9920,9920,39680,N
448,100/300,2000,1376.16,0,FEMALE,PhD,tech-support,own-child,38600,-50300,2/4/2015,Multi-vehicle Collision,Front Collision,Major Damage,Police,5997 Embaracadero Drive,3,NO,2,1,?,47760,5970,5970,35820,Y
218,100/300,500,914.22,0,MALE,JD,prof-specialty,wife,37900,-72900,1/22/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,1738 Solo Lane,3,NO,2,0,NO,84590,15380,7690,61520,N
43,500/1000,1000,1601.47,0,MALE,PhD,handlers-cleaners,other-relative,64400,0,2/15/2015,Multi-vehicle Collision,Front Collision,Total Loss,Other,2903 Weaver Drive,3,YES,2,2,?,61650,6850,6850,47950,N
33,500/1000,1000,1096.79,6000000,FEMALE,Associate,handlers-cleaners,unmarried,45500,-60600,1/7/2015,Single Vehicle Collision,Rear Collision,Major Damage,Police,8926 Texas Ridge,1,?,2,1,?,81400,8140,8140,65120,N
126,100/300,2000,1078.22,0,FEMALE,Masters,transport-moving,wife,54500,0,2/23/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,4231 3rd Ave,3,NO,0,1,YES,58410,10620,5310,42480,N
411,250/500,1000,1595.28,0,FEMALE,College,protective-serv,other-relative,0,0,1/6/2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,8049 4th St,3,?,0,0,?,38610,3510,3510,31590,N
225,100/300,1000,1217.84,5000000,FEMALE,High School,farming-fishing,not-in-family,49600,0,2/7/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,6501 5th Drive,3,?,2,2,NO,57600,9600,9600,38400,N
35,100/300,2000,1117.42,0,FEMALE,PhD,protective-serv,not-in-family,0,-51900,2/14/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,7909 Andromedia Hwy,3,NO,2,2,NO,53190,5910,11820,35460,N
460,100/300,2000,1567.37,0,FEMALE,JD,craft-repair,husband,62500,0,2/15/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,5865 Sky Lane,1,?,2,3,NO,58300,5830,11660,40810,Y
195,500/1000,2000,1294.93,6000000,MALE,MD,tech-support,unmarried,38000,-50300,2/14/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,1957 Washington Ave,3,YES,1,2,NO,64620,7180,0,57440,N
360,250/500,1000,1152.12,0,MALE,PhD,armed-forces,not-in-family,0,-62400,2/5/2015,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,7649 Texas St,3,NO,2,0,YES,90480,15080,15080,60320,N
300,100/300,1000,1441.21,0,FEMALE,PhD,farming-fishing,wife,0,0,1/4/2015,Vehicle Theft,?,Trivial Damage,None,1992 Britain Drive,1,NO,1,0,NO,7080,1180,1180,4720,N
245,500/1000,1000,1575.74,7000000,MALE,JD,exec-managerial,other-relative,0,-68900,2/20/2015,Parked Car,?,Minor Damage,Police,9685 Sky Ridge,1,?,2,2,?,6490,590,1180,4720,Y
146,500/1000,2000,1233.96,0,FEMALE,Masters,other-service,other-relative,34500,-60600,2/5/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,3457 Texas Lane,3,NO,1,1,NO,55900,5590,5590,44720,N
67,250/500,1000,1861.43,0,MALE,High School,adm-clerical,husband,60400,-67800,1/15/2015,Single Vehicle Collision,Rear Collision,Major Damage,Other,7693 Cherokee Lane,1,NO,0,3,YES,63800,6380,6380,51040,Y
380,100/300,1000,1570.86,0,MALE,MD,farming-fishing,other-relative,66000,0,1/5/2015,Single Vehicle Collision,Side Collision,Total Loss,Police,3167 4th Ridge,1,?,0,1,YES,58160,7270,7270,43620,Y
389,500/1000,2000,791.47,0,MALE,Masters,armed-forces,unmarried,0,0,1/1/2015,Vehicle Theft,?,Minor Damage,Police,1617 Rock Drive,1,NO,1,2,NO,6300,630,1260,4410,Y
317,250/500,1000,1012.78,0,MALE,MD,sales,other-relative,43700,0,1/26/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,7877 3rd Ridge,1,NO,2,1,NO,104610,19020,19020,66570,Y
264,100/300,500,1047.06,6000000,MALE,College,exec-managerial,wife,0,0,2/13/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,9325 Lincoln Drive,3,NO,0,2,NO,69850,12700,6350,50800,N
20,250/500,1000,1390.29,0,FEMALE,Masters,priv-house-serv,other-relative,0,-41200,1/14/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,5855 Apache St,1,NO,0,0,?,62900,12580,6290,44030,N
116,500/1000,500,951.46,0,MALE,JD,handlers-cleaners,not-in-family,0,-35500,1/31/2015,Multi-vehicle Collision,Front Collision,Major Damage,Other,1328 Texas Lane,3,NO,0,3,?,59670,6630,6630,46410,Y
222,100/300,1000,1226.78,0,MALE,JD,armed-forces,unmarried,49600,-49200,1/22/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,4567 Pine Ave,2,YES,2,0,?,81500,16300,8150,57050,N
439,100/300,500,1280.9,0,MALE,High School,armed-forces,own-child,48900,-40900,1/30/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,7575 Pine St,1,NO,2,0,?,50000,15000,5000,30000,N
66,100/300,2000,1472.77,0,MALE,Associate,adm-clerical,husband,0,-31700,2/17/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,2850 Washington St,1,?,2,1,?,48290,8780,8780,30730,N
128,500/1000,1000,1878.44,0,MALE,High School,other-service,husband,0,-76000,2/20/2015,Single Vehicle Collision,Rear Collision,Total Loss,Fire,9169 Cherokee Hwy,1,NO,0,0,?,59070,5370,5370,48330,N
69,500/1000,500,1418.5,0,FEMALE,High School,armed-forces,other-relative,0,0,2/4/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,6443 Washington Ridge,3,?,0,0,NO,63300,12660,6330,44310,N
294,100/300,500,1532.8,0,MALE,College,prof-specialty,own-child,0,0,2/23/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,6751 5th Hwy,1,NO,0,3,YES,65780,11960,11960,41860,N
19,250/500,500,1304.35,0,MALE,JD,transport-moving,not-in-family,0,0,2/8/2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,2289 Weaver Ridge,3,NO,0,2,?,75400,11600,11600,52200,Y
191,500/1000,2000,1551.61,0,MALE,High School,armed-forces,unmarried,45000,-30400,2/21/2015,Vehicle Theft,?,Minor Damage,None,8306 1st Drive,1,YES,1,1,NO,2250,250,250,1750,N
4,100/300,1000,1326.98,6000000,FEMALE,High School,machine-op-inspct,unmarried,64200,0,1/13/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,2603 Andromedia Hwy,3,YES,1,3,?,54120,4510,9020,40590,N
298,250/500,500,862.92,0,MALE,MD,machine-op-inspct,wife,0,-71700,1/17/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,6479 Francis Ave,3,NO,0,2,NO,69480,11580,11580,46320,N
231,100/300,2000,1331.69,0,FEMALE,Masters,adm-clerical,not-in-family,0,0,2/18/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,6428 Andromedia Lane,1,?,1,2,NO,66950,10300,10300,46350,N
338,250/500,2000,1486.04,0,FEMALE,Associate,armed-forces,own-child,0,-56200,1/14/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,9081 Cherokee Hwy,3,NO,2,3,?,64100,12820,6410,44870,Y
261,100/300,1000,870.55,0,MALE,PhD,prof-specialty,unmarried,0,-49400,1/27/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,1532 Washington St,1,?,0,3,?,80280,13380,13380,53520,N
321,500/1000,2000,1344.56,6000000,MALE,Associate,machine-op-inspct,husband,0,-39100,2/12/2015,Vehicle Theft,?,Trivial Damage,Police,4625 MLK Drive,1,?,1,2,NO,4680,520,0,4160,N
0,500/1000,1000,1377.04,0,MALE,College,tech-support,wife,61400,-41100,1/17/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,1529 Elm Ridge,4,?,1,1,NO,39720,6620,6620,26480,N
405,250/500,500,1237.88,0,MALE,MD,exec-managerial,not-in-family,0,-46900,1/13/2015,Single Vehicle Collision,Front Collision,Major Damage,Police,2086 Francis Drive,1,?,0,0,?,63580,5780,5780,52020,Y
